,Unnamed: 0,City,Lat,Lon,Max Temp (F),Humidity,Cloudiness,Wind Speed (MPH),Country,Date
0,0,Butaritari,3.0707,172.7902,83.26,74,91,13.71,KI,1619467461
1,1,Mataura,-46.1927,168.8643,39.99,89,100,1.01,NZ,1619467105
2,2,Vaini,-21.2,-175.2,75.2,94,75,14.97,TO,1619467389
3,3,Punta Arenas,-53.15,-70.9167,44.6,100,90,9.22,CL,1619467394
4,4,Ushuaia,-54.8,-68.3,44.6,81,90,5.21,AR,1619467386
5,5,Muros,42.7762,-9.0603,57.0,86,56,10.0,ES,1619467630
6,6,Nhulunbuy,-12.2333,136.7667,77.0,94,75,3.76,AU,1619467631
7,7,Waingapu,-9.6567,120.2641,73.6,70,45,7.94,ID,1619467631
8,8,Biltine,14.5333,20.9167,88.48,6,4,9.6,TD,1619467420
9,9,Avarua,-21.2078,-159.775,80.6,78,40,4.61,CK,1619467188
10,10,Mbekenyera,-10.0,38.9833,70.12,96,65,2.98,TZ,1619467632
11,11,Camacha,33.0833,-16.3333,64.4,77,40,12.66,PT,1619467632
12,12,Baykit,61.67,96.37,20.98,94,22,2.53,RU,1619467412
13,13,Vao,-22.6667,167.4833,73.58,66,68,22.06,NC,1619467503
14,14,Chui,-33.6971,-53.4616,64.26,57,20,10.89,UY,1619467389
15,15,Yellowknife,62.456,-114.3525,8.01,56,40,12.66,CA,1619467262
16,16,Lixouri,38.2019,20.4314,62.01,53,100,8.3,GR,1619467633
17,17,Atuona,-9.8,-139.0333,79.86,75,48,15.66,PF,1619467405
18,18,Saint-Philippe,-21.3585,55.7679,77.0,78,75,14.97,RE,1619467406
19,19,Mar del Plata,-38.0023,-57.5575,62.6,67,0,10.36,AR,1619467435
20,20,Doctor Arroyo,23.6667,-100.1833,86.27,21,100,4.18,MX,1619467633
21,21,Albany,42.6001,-73.9662,55.0,28,1,1.99,US,1619467392
22,22,Aklavik,68.2191,-135.0107,15.8,57,100,10.36,CA,1619467242
23,23,Goma,-1.6792,29.2228,62.96,87,100,3.2,CD,1619467634
24,24,Caraballeda,10.6112,-66.8522,87.8,66,20,4.61,VE,1619467634
25,25,Chiradzulu,-15.6746,35.1407,63.59,85,61,2.77,MW,1619467635
26,26,Jamestown,42.097,-79.2353,55.0,32,20,8.05,US,1619467394
27,27,Saldanha,-33.0117,17.9442,60.8,94,73,21.85,ZA,1619467510
28,28,Paamiut,61.994,-49.6678,34.75,93,100,6.35,GL,1619467635
29,29,Kahului,20.8947,-156.47,78.8,57,1,4.61,US,1619467215
30,30,Labuhan,-6.8844,112.2051,77.02,82,88,6.64,ID,1619467534
31,31,Chokurdakh,70.6333,147.9167,20.28,94,100,4.76,RU,1619467432
32,32,Rikitea,-23.1203,-134.9692,77.25,76,49,9.08,PF,1619467106
33,33,Bredasdorp,-34.5322,20.0403,53.6,94,0,6.91,ZA,1619467399
34,34,Bilibino,68.0546,166.4372,21.58,93,100,2.37,RU,1619467637
35,35,Walvis Bay,-22.9575,14.5053,64.4,77,49,9.22,,1619467637
36,36,Yatou,37.15,122.3833,53.28,94,100,14.09,CN,1619467637
37,37,Quelimane,-17.8786,36.8883,78.8,89,40,6.91,MZ,1619467638
38,38,Requena,39.4883,-1.1004,57.99,84,90,4.9,ES,1619467638
39,39,Sirte,31.2089,16.5887,67.35,62,34,20.4,LY,1619467638
40,40,Inta,66.0317,60.1659,36.63,96,100,11.92,RU,1619467639
41,41,Concarneau,47.875,-3.9225,50.0,62,0,10.36,FR,1619467639
42,42,Puerto Ayora,-0.7393,-90.3518,82.4,69,40,19.57,EC,1619467440
43,43,Nieuw Amsterdam,5.8833,-55.0833,84.2,70,20,11.5,SR,1619467640
44,44,Hofn,64.2539,-15.2082,39.2,75,40,8.05,IS,1619467431
45,45,Dikson,73.5069,80.5464,31.91,98,100,18.86,RU,1619467409
46,46,Port Elizabeth,-33.918,25.5701,60.8,94,0,12.66,ZA,1619467418
47,47,Laguna,38.421,-121.4238,64.99,34,20,5.23,US,1619467497
48,48,Sittwe,20.15,92.9,80.46,80,5,3.29,MM,1619467640
49,49,Salalah,17.0151,54.0924,82.4,74,40,5.75,OM,1619467216
50,50,Hasaki,35.7333,140.8333,37.4,87,20,1.14,JP,1619467314
51,51,Ponta do Sol,32.6667,-17.1,63.0,75,93,1.99,PT,1619467420
52,52,Saint-Raymond,45.467,-73.6095,46.99,45,100,8.05,CA,1619467641
53,53,Qaqortoq,60.7167,-46.0333,37.4,87,75,10.36,GL,1619467419
54,54,Fethiye,36.6217,29.1164,66.2,42,0,10.36,TR,1619467591
55,55,Bluff,-46.6,168.3333,39.99,90,54,1.01,NZ,1619467269
56,56,Port Hedland,-20.3167,118.5667,62.6,72,0,5.75,AU,1619467507
57,57,Talnakh,69.4865,88.3972,10.36,82,93,8.95,RU,1619467520
58,58,Khani,41.9563,42.9566,51.8,93,90,6.91,GE,1619467642
59,59,Balotra,25.8333,72.2333,86.34,19,0,7.36,IN,1619467643
60,60,Torbay,47.6666,-52.7314,43.0,60,90,18.41,CA,1619467402
61,61,Hithadhoo,-0.6,73.0833,82.76,63,10,5.35,MV,1619467403
62,62,Cherskiy,68.75,161.3,12.69,92,54,6.62,RU,1619467430
63,63,Biak,-0.9131,122.8766,75.67,85,98,5.59,ID,1619467644
64,64,Nanchong,30.7951,106.0847,63.79,81,100,3.13,CN,1619467644
65,65,Iskateley,67.6803,53.1512,36.97,95,100,4.38,RU,1619467644
66,66,Cape Town,-33.9258,18.4232,64.0,72,75,16.11,ZA,1619467170
67,67,Jining,35.405,116.5814,52.77,96,46,5.73,CN,1619467645
68,68,Carnarvon,-24.8667,113.6333,62.6,72,0,5.75,AU,1619467455
69,69,Calvinia,-31.4707,19.776,54.68,77,95,14.76,ZA,1619467645
70,70,Hong Kong,22.2855,114.1577,73.0,91,100,1.01,HK,1619467276
71,71,Saint George,37.1041,-113.5841,55.99,54,75,17.27,US,1619467545
72,72,Caborca,30.5838,-111.101,84.0,21,27,7.0,MX,1619467646
73,73,Kelso,46.1468,-122.9084,57.99,54,1,1.74,US,1619467646
74,74,Shuyskoye,59.3736,41.0305,35.28,91,100,9.73,RU,1619467647
75,75,Kavieng,-2.5744,150.7967,81.66,75,67,0.18,PG,1619467489
76,76,Khudumelapye,-23.8833,24.75,65.93,19,3,3.15,BW,1619467647
77,77,Ubari,26.5921,12.7805,85.77,22,57,10.18,LY,1619467647
